user_id,signup_date,monthly_spend,churn_label,region
USR_1000,2024-01-01,140.54,False,South
USR_1001,2024-01-02,333.32,False,West
USR_1002,2024-01-03,260.67,False,East
USR_1003,2024-01-04,215.11,True,South
USR_1004,2024-01-05,67.31,False,East
USR_1005,2024-01-06,N/A,False,West
USR_1006,2024-01-07,32.72,True,North
USR_1007,2024-01-08,272.24,False,South
USR_1008,2024-01-09,216.34,False,West
USR_1009,2024-01-10,250.77,False,South
USR_1010,2024-01-11,22.25,True,East
USR_1011,2024-01-12,339.81,False,South
USR_1012,2024-01-13,NONE,N/A,North
USR_1013,2024-01-14,87.05,False,East
USR_1014,2024-01-15,83.47,False,South
USR_1015,2024-01-16,87.72,False,West
USR_1016,2024-01-17,118.66,False,North
USR_1017,2024-01-18,190.22,False,East
USR_1018,2024-01-19,160.29,True,East
USR_1019,2024-01-20,119.23,False,West
USR_1020,2024-01-21,220.10,False,South
USR_1021,2024-01-22,221.75,True,South
USR_1022,2024-01-23,120.21,False,North
USR_1023,2024-01-24,-999,False,West
USR_1024,2024-01-25,167.32,False,East
